product_id;brand;model;main_category;sub_category;retailer;link;is_active
lav_sams_007;Samsung;WW95AA046BXUBG;Electrodomesticos;Lavarropas;Megatone;https://www.megatone.net/producto/lavarropas-samsung-ww95aa046bxubg-95kg-inox-inverter_MKT0418VIS/?psc=7&url=/listado/Electrodom%C3%A9sticos/Lavado/Lavarropas/;TRUE
lav_sams_007;Samsung;WW95AA046BXUBG;Electrodomesticos;Lavarropas;Musimundo;https://www.musimundo.com/marcas/samsung/lavarropas-automatico-inverter-samsung-ww95aa046bxubg-9-5-silver/p/00727034;TRUE
lav_sams_007;Samsung;WW95AA046BXUBG;Electrodomesticos;Lavarropas;Naldo;https://www.naldo.com.ar/207834/p;TRUE
tel_sams_008;Samsung;Galaxy A06;Tecnologia;Celulares;Fravega;https://www.fravega.com/p/celular-samsung-galaxy-a06-128gb-celeste-782439/;TRUE
tel_sams_008;Samsung;Galaxy A06;Tecnologia;Celulares;Megatone;https://www.megatone.net/producto/celular-samsung-galaxy-a06-128-gb-light-blue_MKT0306VFL/;TRUE
tel_sams_008;Samsung;Galaxy A06;Tecnologia;Celulares;Musimundo;https://www.musimundo.com/telefonia/telefonos-celulares/celulares-liberados/celular-samsung-galaxy-a06-ligth-blue/p/00948028;TRUE
tel_sams_008;Samsung;Galaxy A06;Tecnologia;Celulares;Naldo;https://www.naldo.com.ar/galaxy-a06-light-blue-4-128gb-6-7--406554/p;TRUE
helad_electr_009;Electrolux;IFS43;Electrodomesticos;Heladeras;Fravega;https://www.fravega.com/p/heladera-electrolux-inverter-no-frost-if43s-390lts-160984/;TRUE
helad_electr_009;Electrolux;IFS43;Electrodomesticos;Heladeras;Megatone;https://www.megatone.net/producto/heladera-408l-if43s-no-frost-inv-inox-electrolux_HEL0143ETX/?psc=3&url=/listado/Electrodom%C3%A9sticos/Heladeras%20Y%20Freezers/Heladeras%20No%20Frost/;TRUE
helad_electr_009;Electrolux;IFS43;Electrodomesticos;Heladeras;Musimundo;https://www.musimundo.com/marcas/electrolux/heladera-con-freezer-electrolux-if43s-plata/p/01018030;TRUE
helad_electr_009;Electrolux;IFS43;Electrodomesticos;Heladeras;Naldo;https://www.naldo.com.ar/408l-if43s-plata-inv-autosense-n-f-208529-1/p;TRUE
